epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
39,2539.81,0.57496,0.93364,0.69818,0.91163,0,0.8469,0.7907,0.87163,0.65547,0.84875,0.81395,0.86703,0.64539,0.8187,1.10033,0.79937,1.1415,0,0.0010595,0.0010595,0.0010595
40,2603.53,0.56838,0.92326,0.70449,0.9125,0,0.82937,0.76744,0.83255,0.64667,0.84737,0.77907,0.82451,0.60686,0.747,1.13884,0.87609,1.11149,0,0.00103475,0.00103475,0.00103475
41,2667.16,0.57369,0.82802,0.71883,0.9109,0,0.84924,0.72054,0.84305,0.6526,0.84924,0.72054,0.83802,0.60582,0.75323,1.14664,0.81955,1.08904,0,0.00101,0.00101,0.00101
42,2730.22,0.58635,0.87644,0.73121,0.93215,0,0.87138,0.81395,0.85881,0.64182,0.85606,0.80233,0.8357,0.6196,0.77248,1.21829,0.83825,1.10243,0,0.00098525,0.00098525,0.00098525
43,2793.69,0.56052,0.83582,0.70183,0.91374,0,0.80652,0.80233,0.84962,0.66781,0.79483,0.7907,0.84512,0.63247,0.71745,1.19606,0.83337,1.09503,0,0.0009605,0.0009605,0.0009605
44,2857.06,0.56125,0.86289,0.64399,0.9157,0,0.88304,0.77907,0.86741,0.68481,0.84396,0.82558,0.86032,0.62806,0.67977,1.15349,0.79942,1.06154,0,0.00093575,0.00093575,0.00093575
45,2919.91,0.53564,0.92991,0.63239,0.92466,0,0.87878,0.75871,0.87306,0.68353,0.90122,0.80233,0.86693,0.65195,0.68049,1.13097,0.77926,1.04962,0,0.000911,0.000911,0.000911
46,2983.6,0.51833,0.93784,0.64464,0.90305,0,0.78956,0.82893,0.87472,0.68844,0.80063,0.84056,0.88219,0.65198,0.67221,1.1362,0.76946,1.04309,0,0.00088625,0.00088625,0.00088625
47,3046.98,0.52061,0.79442,0.63922,0.91863,0,0.84155,0.80288,0.86734,0.68838,0.84155,0.80288,0.85388,0.64294,0.65316,1.13642,0.75234,1.02445,0,0.0008615,0.0008615,0.0008615
48,3110.37,0.48352,0.79758,0.60039,0.88798,0,0.84976,0.80233,0.85324,0.67729,0.84976,0.80233,0.84349,0.64404,0.66343,1.13528,0.78311,1.01907,0,0.00083675,0.00083675,0.00083675
49,3173.45,0.52884,0.81374,0.62036,0.90548,0,0.83024,0.7962,0.85615,0.66849,0.84237,0.80783,0.8472,0.63143,0.70423,1.15228,0.84196,1.05681,0,0.000812,0.000812,0.000812
50,3236.45,0.55135,0.83263,0.61178,0.91216,0,0.83228,0.81395,0.85685,0.68929,0.83228,0.81395,0.85669,0.63922,0.6675,1.17658,0.84233,1.03443,0,0.00078725,0.00078725,0.00078725
51,3299.5,0.51945,0.86011,0.61671,0.89523,0,0.84578,0.82558,0.87593,0.68779,0.83341,0.81395,0.85792,0.65004,0.67701,1.16696,0.7647,1.04259,0,0.0007625,0.0007625,0.0007625
52,3363.15,0.51234,0.78265,0.61457,0.90307,0,0.87166,0.78978,0.86047,0.67998,0.88453,0.7907,0.85642,0.64191,0.67812,1.18437,0.75191,1.03243,0,0.00073775,0.00073775,0.00073775
53,3426.67,0.51584,0.81575,0.57944,0.89548,0,0.90466,0.77239,0.85619,0.68178,0.90466,0.77239,0.85889,0.62848,0.70043,1.17694,0.73567,1.06107,0,0.000713,0.000713,0.000713
54,3489.58,0.49347,0.77671,0.58765,0.88996,0,0.86142,0.79509,0.86673,0.67809,0.87102,0.78531,0.85232,0.63258,0.72392,1.16716,0.72413,1.10533,0,0.00068825,0.00068825,0.00068825
55,3552.51,0.48732,0.80963,0.5645,0.89313,0,0.89257,0.77294,0.86679,0.68428,0.87277,0.80233,0.85979,0.64595,0.70067,1.13014,0.73751,1.06544,0,0.0006635,0.0006635,0.0006635
56,3615.89,0.49557,0.78075,0.56469,0.89705,0,0.85087,0.79616,0.85603,0.66768,0.8633,0.80779,0.85959,0.65036,0.65784,1.10095,0.74705,1.03651,0,0.00063875,0.00063875,0.00063875
57,3679.06,0.49281,0.75095,0.57669,0.89589,0,0.85537,0.75647,0.85359,0.67375,0.78717,0.83721,0.85186,0.63946,0.65201,1.12034,0.74955,1.03071,0,0.000614,0.000614,0.000614
